Activity,Site Id,Activity Id,Site Name,Region,District,Mini Cluster,Site Type,Site Class Code,Power Vendor,Vendor,Genset Make,Threshold Value,Site Area Type,Genset Type,Technician,Reviewer,Review Date,PM Source,Status,Approve/Migration,Schedule Date,Activity Done Date,Generator Status,Pull from Site Date,Overhauling Date,Service No.,Last Done Run Hrs,Next Service Run Hrs,Done Run Hrs,Predicted/Current Run Hrs,Last Transaction Run Hrs,Last Transaction Date,Service Due,Spare Parts,Distance (Kms.),Technician Latitude,Technician Longitude,Site Latitude,Site Longitude,Site Owner,Current Review Plan Date,Activity Mode,Assign Reviewer,Rejection Category,Rejection Remarks,No. of Activtiy Visit,Auto Access Activity,Access Dur Activity,No. Of Audit Visits,Auto Access Audit,Access Dur Audit,O&M Eligibility,Last Changed Date,Predictive Maintenance Flag,Predictive Maintenance Note,iAsset Sync Status,Generator Asset Id,Due Date,Due Date,Due Date
"Generator PMR","1000001","AR-1105867","RUBEEN PLAZA","Central","Riyadh City","Riyadh City","Access","Classic","Huawei-PV","In-House","","0 Months","Unknown","","super admin ","","","","D","","28-Jan-2026","28-Jan-2026","","","","","","","0","0","","","","","","","","24.7524","46.6255","Tawal","","Manual","","","","3","Yes","12","4","Yes","6","Yes","04-Sep-2025","","","","","28-Jan-2026","28-Jan-2026","28-Jan-2026",
"Tower Light System Health Check","1000001","AR-1105865","RUBEEN PLAZA","Central","Riyadh City","Riyadh City","Access","Classic","Huawei-PV","In-House","","0 Months","Unknown","","super admin ","","","","S","","28-Jan-2026","","","","","","","","","","","","","","","","","24.7524","46.6255","Tawal","","Manual","","","","3","Yes","12","4","Yes","6","Yes","04-Sep-2025","","","","","31-Jan-2026","31-Jan-2026","31-Jan-2026",
"Cooling System PMR","1000001","AR-1105824","RUBEEN PLAZA","Central","Riyadh City","Riyadh City","Access","Classic","Huawei-PV","In-House","","0 Months","Unknown","","super admin ","","","","D","","13-Jan-2026","13-Jan-2026","","","","","","","0","0","","","","","","28.8229718","78.648749","24.7524","46.6255","Tawal","","Manual","","","","3","Yes","12","4","Yes","6","Yes","04-Sep-2025","","","","","17-Jan-2026","17-Jan-2026","17-Jan-2026",
"Cooling System PMR","1000001","AR-1105787","RUBEEN PLAZA","Central","Riyadh City","Riyadh City","Access","Classic","Huawei-PV","In-House","","0 Months","Unknown","","super admin ","Shailesh K Gupta","07-Jan-2026","","RS","","07-Jan-2026","","","","","RS1","","","","0","","","","","","28.8229816","78.6487457","24.7524","46.6255","Tawal","","Manual","Shailesh K Gupta","Civil: Tower","NLKHK","3","Yes","12","4","Yes","6","Yes","04-Sep-2025","","","","","","","",
"Tower Light System Health Check","1000001","AR-1105786","RUBEEN PLAZA","Central","Riyadh City","Riyadh City","Access","Classic","Huawei-PV","In-House","","0 Months","Unknown","","super admin ","","","","S","","06-Jan-2026","","","","","","","","","","","","","","","","","24.7524","46.6255","Tawal","","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","04-Sep-2025","","","","","","","",
"Cooling System PMR","1000002","AR-1105889","ZRY336","Central","Riyadh City","Riyadh City","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","ALAM KHAN","","","","S","","02-Feb-2026","","","","","","","","","","","","","","","","","24.7202","46.6569","Tawal","","Manual","AL Fahad Kiram","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","02-Feb-2026","02-Feb-2026","02-Feb-2026",
"Tower Light System Health Check","1000003","AR-1105785","ZRH352","East","Jubail","7","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Rural","","super admin ","","","","S","","06-Jan-2026","","","","","","","","","","","","","","","","","46","67","Tawal","","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","","","",
"Cooling System PMR","1000005","AR-1105948","ZMH057","South","Asir","Asir","Unknown","Classic","Huawei-PV","Ericsson","","0 Months","Rural","","super admin ","","","","D","","05-Feb-2026","05-Feb-2026","","","","","","","0","0","","","","","","","","18.56333","41.97757","Tawal","05-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","24-Oct-2024","","","","","05-Feb-2026","05-Feb-2026","05-Feb-2026",
"Cooling System PMR","1000006","AR-1105949","ZKH841R21","South","Asir","Asir","Unknown","Classic","Huawei-PV","Ericsson","","0 Months","Rural","","super admin ","","","","D","","05-Feb-2026","05-Feb-2026","","","","","","","0","0","","","","","","","","19.06564","43.98367","Tawal","05-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","14-May-2024","","","","","05-Feb-2026","05-Feb-2026","05-Feb-2026",
"Generator PMR","1000006","AR-1105864","ZKH841R21","South","Asir","Asir","Unknown","Classic","Huawei-PV","Ericsson","","0 Months","Rural","","Shailesh K Gupta","","","","S","","27-Jan-2026","","","","","","","","","","","","","","","","","19.06564","43.98367","Tawal","","Manual","","","","3","Yes","12","4","Yes","6","Yes","14-May-2024","","","","","","","",
